,toxic,non-toxic
217321,He's a disgrace to the profession.,it's a disgrace to our profession.
87252,"You roll up on a nigga, 'Kenny with the white nose' like that.","""Kenny with a white nose"" just like that."
472067,Powerful fucking people.,they're powerful people.
512134,What are you doing in our fucking house?,what are you doing in our house?
84250,by dawn we'll all be dead....,We're all dead by dawn...
306339,"No, from the fuckin' ""twilight zone."" you must have seen that one.","no, from the ""Twilight Zone"" concept, he must have seen it."
2271,"It just sucks, you know?","it just pisses me off, you know?"
378504,who you calling scum!,Who you calling low-life!
338063,A silk sash at Tootie's? What an asshole.,a silk scarf in Tootie's?
210631,do you want me to climb the damn scaffold again?,Why should I drag myself up those scaffolds again?
402297,"Oh, I'm gonna punch somebody.","oh, I'm gonna turn someone down."
112403,You are such a liar. I think that means I work for him.,I guess that means I work for him.
384293,"Please. shut up. ** ""shepherd got your whole tumor out.""","please be quiet. ""Shepherd has operated the entire tumor."""
121891,"You can't do a goddamn thing to me, Hartigan.","you can't do anything to me, Hartigan!"
176449,When Moe finds out we're gone... ...he's gonna come barreling upyour ass like a freight train.,when Moe finds out we're gone...... he'll come clean as a freight train.
395910,my junk.,My stash.
542386,Don't do shit unless.,do nothing if...
353954,Why do we have to get dressed up for your damn birthday party?,why do we have to be dressed like this for your party?
55439,"and after a pleasant day, you can jerk off in the streets of our beautiful city.","And after a day of sightseeing, why not try spanking it in one of our charming city streets?"
357671,"Look, what you need to do... is deal with your emotions and stop screwing around.","look, you need to get your emotions together and stop hitting yourself."
105022,many phagors had their own cock.,Many of the host had their own cowbirds.
439258,Anya's the type who'd smile at a child molester.,Anya is a type who would laugh at the harassment of a child.
303221,isn't that because you fucked his wife?,Or is it just that you shagged his wife?
335302,"Damn it, I knew it.","hell, I knew."
226224,Have you ever tried that shit?,have you ever tried it?
81823,what the hell are you doing?,What are you doing?
35247,"one more touch of lipstick, and Sean was already waiting in the balls for his cue.",A final check of the makeup and then Sean was waiting for a cue in the wings.
297241,"except, young man, an army Indian is a piece of shit I got, an Indian Scout in the 1920s.","Now the, ah, young fella, the army Indian is a real dog... what I've got is the... genuine article, the 1920 V twin Scout."
192939,"yeah, you saved our asses.","Yes , you saved us yesterday ."
100501,Those thieves... Will draw their last breath.,this is the last time these thieves take a breath.
509771,"'We could kill them only when we need them,' offered Nebuchad, reddening.","'We could only kill the animals when we need it, 'said Nebuchad with a rucksack."
232981,"damn, the key.","Oh my gosh, a key."
257054,she was just a pain.,There was only the pain.
40082,now he's sucking it up!,It's a suction!
556129,The 5 of you are in big fucking trouble!,you five are in big trouble.
238296,"Well, it just looks a little silly.",it seems a bit comical...
148457,Two of the finest members Of our buy moron staff.,two best members of the Buy Magors staff.
377346,"I make sure my face is burned into the retinue of the dying men. ""","I like to make sure that my face is branded on the retinas of dying men."""
469113,I heard about this very unhappy little misunderstanding with orders to kill.,I hear we're having the most unfortunate little kill order mix-up.
176547,"Mr. O´Malley, I think you should be the rear end.","Mr. O'Malley, I think you should be the stern of the vehicle."
370123,You hit like a girl.,you fight like a girl.
536838,you're worse than the fucking Six.,You're worse than the fracking Sixes.
467358,"One shot, one kill! Get some!","one shot, one dead!"
179232,"Charlie, making a silly decision makes no sense, and it brings no benefit to anyone.","Charlie, having somebody making wild decisions that make no sense, that benefits nobody."
15541,Not even Hitler and his bloodsuckers could keep Felice from her old habits.,not even Hitler and his quarry could have taught Felice to old habits.
456234,to destroy her enemies wherever I find them.,To strike out its enemies wherever they were to be found.
388015,"People don't usually talk to me like that, OK? Close your mouth, man.",people don't usually talk to me like that.
79778,you're crazy!,You're mad!
395539,"Oscar, he's a thief, and he's not good.","Oscar here, he's a B and E, and he ain't very good at it neither."
546243,"Stay fucking there, Paul!","stay there, Paul!"
245741,"Of all the places to die, why the hell choose the school?","of all places to die, why at school?"
462507,"I don't need to be sorry about the prostitute, thank you very much.","I don't need pity from aprostitute, thanks very much."
480686,"Go to the door, you brat.","go on, get to the door."
123751,"Dude, get that fuckin' cancer raccoon away from me!","dude, take this raccoon off me!"
54138,I feel like a bride is a bum.,I feel like a deadbeat bride.
413315,Peaches owned the house. She would've kicked my ass out.,"peaches owns the house, so she'd fire me."
443242,"a lot of things can be explained by Satan, or else they don't give a shit.",He explains a lot of things that otherwise dont have no explanation.
556209,we give the pictures to Vogel and fuck Tim.,"If we give the photos to Vogel, all bets are off with Tim."
70976,give me one fucking reason why I'd lie to you!,"Oh, give me one good single sodding reason why I'd lie."
418475,Don't you want Uther dead?,you don't want him to be dead?
136995,That this whole damn war might be over after one more battle… … and my Virginia boys will have missed most of it.,this whole war could end after the next battle...... and my Virginia boys didn't even know her.
176061,"Now that we're back to where we started, your guess is as good as mine as to how this fucker ends.","now we're where we started, in terms of how this is going to end up like me."
377198,"oh, shit...",Oh geez...
330948,"You'll get your killer, the feds'll get their thief and I'll get my pension.","you get the killer, you get the Feds, and I get my pension."
29762,Looking at you walk out the fucking hotel.,he saw you coming out of the hotel.
438989,"and since you spent all the money on that stupid party, we don't have a chance to get back up there.","And since you spent all our money on this supid party, we have no way of getting back up"
209679,go ahead and knock her out.,Go check her out.
577284,"Shit. Might not come until this afternoon, maybe tomorrow.","he might not come until this afternoon, maybe tomorrow."
248519,"she broke my heart, so I'm gonna break her jaw.",She broke my heart so I broke her jaw...
403093,"oh, shit.",Cripes.
363081,if you don't shut up...,If you don't zip it...
346072,you have to shoot first.,You'll have to hit that one first.
444373,"God damn, woman.","oh, my God, woman."
496668,We're gonnapick you up and get the hell outta here.,"I'm going in, we're gonna get you, and we're gonna get out of here."
31867,if you see a witch on your face...... tell him Labute wants to see him.,If you see a wizardwith a scar on his face... ...tell him Lord Cobwants to see him!
18896,you're the dullest!,You're the thickest!
531576,"""the little bugger was so quiet, I almost forgot he was there.""",'The little beast was being so quiet I almost forgot it was there.'
146147,"Gonna start that ""yeah, what?"" shit again?","you want to start with the ""Yes, what""?"
114388,"Shit, that's like...","dude, that's..."
543311,That's my fucking statement!,that's my statement!
406926,"It's a damned disgrace, the amount of good game going lost of late.",it's a shame how much good game we've been losing lately.
34427,"Boy, it's--it's funny About f-finding This fucking plane, wasn't it?","but it was funny finding the plane, right?"
383549,"All right, thief, suppose you tell me what my business is.","of course, the thief will tell me what I should and don't."
535840,"the people who live like that will die, too, Bridge.","People who live like that die like that, Bridg."
540801,"you play an Indian in front of the whites, and you're playing a white boy at home.","You play redskin to the whites, then white to your people."
305369,"shit, man, I'm sorry.",I'm sorry to hear that.
23607,"I know you think he's stupid, but I think he's kind of hot.",Which I know you think is probably lame but I think it is kind of sexy.
27978,don't fuck up.,Do not screw this up.
566336,You annoying.,boring. You're fun.
211079,"""you've got a fucking...","""You got a whole lot of..."
206189,You can't sell to a void. You've got to get a goddamn person.,you can't sell in a prison... you need a hell of a person.
514191,"Although I was obsessed by this C.J., I could not pursue her... ...or else my wife would snap off my cock.","even though I was obsessed with C.J., I couldn't go after her because my wife would have taken my bath."
275896,Ugly.,dreadful.
289772,"Cyzada, I want you to keep a close watch over my deranged son here.","Cyzada, your job is to keep an eye on my son."
354636,sit in the back and shut up.,Just sit back and watch.
224544,"Hey, just because you didn't get along with the guy, doesn't mean you can talk shit about him when he's dead.",just because you didn't really come out with him doesn't mean you talk nasty about him when he's dead.
506939,"The country is to them a misery, a death, a hell.","this country is suffering, death, hell."
153270,you know I think you're a piece and you have a beautiful big butt,I think you're fine And you got that big behind
247485,"A house full of slaves, have to do fucking everything myself.","full house of slaves, and I have to do everything myself."
16729,"You tried to kill him! Like hell I did! The first shot I gave him should have stabilized him, but if you keep holding out on me, this is what you get.","the first injection I gave him was supposed to stabilize him, but if you pull the information in front of me, it ends up like this."
249361,"This guy lit a lab on fire, and he coulda killed a lot of people.",he burned down his lab and he could have killed someone.
409862,"Now, I know that I've put you all through hell... and I know that I have been one rough pecker.","so, I know we're all going through this hell. And I know I was rude."
575435,"If he were any more laid back, he'd be dead.","so casual that if he had overdone it, he would have been dead."
522334,One of them will die.,one of them dies.
55996,"But when he tried again, he got bitch-slapped.","but when he tried again, he got slapped."
17192,"""silly!","""Nuts!"
245787,"and close the door, barbarians!",Close the door. Impertinent!
474359,stop fucking around.,Stop saying that.
326024,(Lowered voice) Killers like creepy.,killers love a scary thing.
241974,"You owe me 1,000 pushups and 1,000 suicides before you can play.",you'll make 1 000 pushups and 1 000 rovers before I let you play.
168996,I'll be right back with your dick oil on my feet.,I'll be right back with your aromatherapy foot pack.
137908,you want to go rat on me?,You're going rat me out?
428087,It would go better if you were not breathing in my neck.,it would be if you weren't breathing down my neck.
458935,"It should shoot, big water up to ceiling.",it should sprinkle water to the ceiling.
292349,and last night there was a damn secret gathering at the bottom of the lake.,And they said that there was some kind of secret meeting last night down near the lake.
194802,You are the one who killed my little pet.,you killed my little pet.
249883,Killing at will. Orcs bearing the White Hand of Saruman.,Orcs with the character of Saruman's White Hand.
136120,What do you call this shit?,what do you mean?
492463,"I managed to have sex on St Patrick's Day, but... she kind of slept.","I got lucky on Saint Paddy's Day, but she was half-asleep."
246048,she's terrible.,It's terrible.
353407,he could have had my virginity if he had blinked.,He could have had my maidenhead just by lifting his eyebrow.
396232,"The treasure buried, the blacks removed themselves a short distance up wind from the fetid corpses, where they made camp, that they might rest before setting out in pursuit of the Arabs.","when they buried the treasure and buried the remains of the dead, they left the black and blackened remains of the estate behind them and made camp near the wind to rest before they were on the trail of the perpetrators."
139894,and all kinds of shit.,Snakes of all kinds.
212546,did you call me an idiot?,Did you call me a tit?
529135,get the fuck out of our neighborhood!,Get out of our neighborhood!
193066,"he can kill quickly and quietly, like it killed Jake Johnson.","It can kill quickly and silently, the way it took Jake Johnson."
139725,"He says he doesn't know his father. But he's working in the same, exact goddamn field his father did.","he says he doesn't know his father, but he works in exactly the same field!"
227947,someone had to stop the bastards.,Somebody had to stop these pricks.
202852,"""Me? Dammit, Vlad, you've already got me working on background, as well as trying to figure out a nonexistent event to provide an insufficient reason for a vanished Jhereg to do the impossible.","""hell, Vlad, you're keeping me busy now, I'm about to find out something about a nonexistent event that wouldn't have done the missing Jhereg to do the impossible."
281978,This is justa stupid formality.,it's just a pointless formality.
437538,"Their brains are old, mushy, fried from bad '80s music.",ruined by bad music from the 1980s.
153200,what the fuck is going on?,"What's going on? - They got RPGs, man!"
210922,they'd want to fuck till dawn.,They would be desperate to make love till dawn.
378070,"one way or another, he must destroy the Church once and for all.","One way or another, he must break the Church, now and for always."
231836,"""Don't play the fool with me, Dolgan.","""don't fool me, Dolgan."
109127,don't be a jerk.,Don't be a peeper.
45774,old Cable's a coward.,Old Cable's yellow.
329919,"Why, to shoot, of course.","for shooting, why?"
440598,Who gives a fuck what I do?,who cares what I do?
133046,"if I didn't, your brain would be dead right now.","Lf I hadn't, your mind would be lost."
236611,Fuck your wife and child.,I'm wasting your wife and baby.
206108,"Yeah, that's what I thought, bitches.","yeah, that's what I thought."
434050,"what else are we doing, damn it?","I mean, isn't that why we do what we do, dagnammit?"
523267,"Want to survive enough to stop me, pussy, or are you relying on my generosity, my love of humanity, to stop me from killing you?","do you want to survive long enough to prevent me, posh, or rely on my generosity, my love for humanity will prevent you from killing yourself?"
414864,By building more walls and hanging more whores?,by putting more walls and hanging more holes?
34783,"Juliette, she set fire to him.","Juliette, she torched it."
421350,Let's try getting ahead and cutting her off.,we'll try to outrun her and cut her way.
567235,"and this guy is a giant, like a gorilla.","And this guy is huge, all right? Like Yeti big. He's big."
9513,We'd be incinerated.,that would have burned us.
168991,Give the sign to Mahalalo's navy to shoot!,give the signal to Mahalal to prepare the Navy!
200688,"And Severino, that trash-pail informant...","and Severino, the informant..."
339876,"All the ruffians do what he says; and what he says is mostly hack, burn, and ruin; and now it's come to killing.","the villains do what he tells them, and he mostly says: Sit down, fire, destroy, and now there's been killing."
89043,What the fuck are you lookin' at?,what are you looking at?
468911,"She's hooked up to this, this, a... ll this crap.","she's chained to this, this... volley."
216410,"All right, Wu, it's been a long fucking day.","okay, Wu, it's been a long day."
305922,I'll fucking show him happy.,I'll show him fine.
379517,it's better than sex.,better than sex actualy it's not
525522,What does hefucking do?,what's he doing?
400416,Let's go gank ourselves a Paris Hilton.,let's surprise Paris Hilton.
542538,"Mitchel, you fool.","Mitchel, you mule."
58033,you're sick and you don't care about yourself.,And you're not taking care of yourself.
400560,I'd like to see what he thought of the fool who invented this weapon.,I'd like to know what whoever designed this weapon was thinking.
399210,I should cut him loose.,I should let him go.
236889,"Michael, where the hell are you?","Michael, where are you?"
267728,You're having a psychotic episode.,you have a seizure of psychosis!
14121,"oh, shit!",Good God!
2849,"Whoever first took them off the books probably disposed of them to a fence somewhere, who finally brokered the deal at third or fourth hand to the scum you and your people took out.""","the one who cheated the reports probably got rid of one of the traffickers, and the thing that you and your people did was get out of the third or fourth hand.'"
155223,I told you it was stupid.,Told you it was bogus.
116900,"""ten fifteen thousand - go to hell!",“Ten or fifteen thousand gum drops!
299718,Throw that mutt in the freezer till his owners come.,put the dog in the freezer before they come for it.
288598,"""shall I shoot him?"" The man at the gun controls asked.","""Should I blast it?"" the man at the gun controls asked."
140209,"Jesus, what the fuck did I do?","Jesus, what have I done?"
92480,"Well, I am-- I know I'm a star, but I want to be a bigger fucking star.","well, I'm-I know I'm a star, but I want to be a hell of a bigger star!"
568306,We were sure you were dead.,we thought you were dead.
555299,they'll be shot in the press.,They get bashed in the press.
366553,what son of a bitch sent that video to embarrass you like that?,What creep would send Diane Sawyer a video to embarrass you like that?
68636,"If there were only a few cunts there, he'd try to take them all hostage.","if there's only a couple of them, they'll try to take them hostage."
518750,It's the rule at a black inn.,it's a custom in the Black Inn.
409609,"he's trying to mollify me with some stupid excuse to sweep it under the rug, huh?","He's trying to toss me some empty ""sorry"" so he can sweep it all under the rug, right?"
441722,I know what a damn sonnet is.,I know what a sonnet is.
4427,"I'm sick of this shit, Aeryn!","And I'm sick of it, Aeryn."
517986,Shit. Better get in line.,you better get in line.
338763,Picayune shit!,pettiness!
537674,"you don't insult me, I have nothing against you, but men are so sloppy.",Don't worry. I have nothing against your kind But men are so careless
114245,The doctor wishes he was dead.,the doctor is dying.
190233,"Well, it's too bad spousal privilege doesn't apply to bullshit marriages.",it's a shame that marriage secrecy doesn't apply to meaningless marriages.
210632,"It's fucking blood, man.",that's really blood.
566346,if you don't want to hear this midget screaming again like a pussy...... I'd say you throw up your guns.,Unless you want to hear this one squeal like a girl again... I'd say you should... drop your weapons.
354160,"it's my business, and I'll kill him if I want to!",It's my business and I'll run it into the ground if I want to.
218321,"It turns out, the horny guy with the weak heart was a club regular.",it found that this guy with a weak heart was a permanent member of the club.
229267,"Forgive me, father, for I am about to purloin some shit off a dead man.","forgive me, Father, for I intend to rob the deceased."
392082,Shoot!,fire!
239716,Shit! - Want a donut?,you want a doughnut?
321799,"If you wanna save yourself the $15 co-pay, you could have sex while you're awake.","if you want to save 15 bucks, you can make love if you're baking."
495164,"""that's... Disgusting.""","""That is ... vile."""
67308,"You're just hanging out, getting fucked up?",you're just hanging out and getting whipped?
308301,"I'm on a European vacation, but you're a pee-pee!","I'm on a European vacation, but ""you're a-peein'"" everywhere!"
388944,a long life for a common rat!,Curiously long life for a common garden rat!
251713,Let's get this crap inside quick.,put the mess in quickly.
53257,"Come on, Besinger is yours - Shut up!","come on, Besinger's yours."
468282,I'm not comfortable with that fat sack of weed.,I don't like having a big bag of marijuana.
360435,everything was black.,Everything was pitch black.
332523,This one in particular looks like he just broke out of a federal fucking prison.,this particular guy looks like he's running out of a federal prison.
76116,"I mean, what if I fucked my uncle knowingly?",what if I slept with my uncle consciously?
457565,"Hit me, sergeant!","give me one, Sergeant."
322024,You better not be screwing with me.,you better not play games with me.
372766,does it look stupid?,Does it look bad?
277740,So the virus bitch is going down?,so the bad virus is destroyed?
387104,That stupid bitch almost sent my daughter to Barcelona.,the cow almost sent our daughter to Barcelona.
103964,"Well, come in here, and I'll show you some fucking pain!",come on and I'll show you what hurts.
58554,You're an exterminator.,you're a liquidator.
231351,I can't... This is stupid.,I can't do that.
156602,What the fuck you talking about?,what are you talking about?
57172,"bleeding hearts and artists, let him escape with murder on his neck,",The bleeding hearts and artists Let him get away with murder
534955,"No, your name is Sex.","not a name, gender."
407533,"come on, pussy.","Come on back, punk."
307221,About a million people want to shoot you this month.,hundreds only want to take pictures of you this month.
228642,None of your fucking business.,it's none of your business.
287059,I'll tell him it's a guy I'm having sex with.,I'll say he's the guy I'm sleeping with.
319340,"Yeah, it was until we got into that phone that you guys picked up in that shithole.",that was until we got the data from the phone you guys picked up in that dump.
50599,or is it just reward for sticking something in your butt?,Or is that just the price for sticking something in you?
169954,"Not to his face, of course. Not to his ass, either!","not in his face, not even under his breath."
433463,Get in your car and back the fuck up!,get in the car and get out of here!
254462,get your fucking hands off me!,Help! get your handsoff of me!
69041,"depends on how much you like her ass, Tony.","Depends on how much you like her buns, Tony."
298708,Wilkins! If that damn dog craps in the courtyard one more time... I'm just gonna bank his little butt for breakfast!,"Wilkins, if the dog's done in the yard one more time, I'll make a stew out of him!"
71408,I'm sitting in this stupid woods night after night.,Sitting out in those bloody woods night after night.
161845,- Shut up!,be quiet.
475791,we killed our manager!,We killed our probation worker!
192474,"Without my bullshit, you're still waiting on lab work.",you'd still be waiting for the lab.
573355,Yeah. It's Charles the Second's croquet ball. Imbued with the fury of a king and a sore loser.,"yeah, it's Karl II's croquet ball, loaded with the anger of a king who couldn't lose."
541441,I politely declined. He spray-painted 'whore' on my front door.,"when I turned him down, he sprayed me on the door of ""KURVA."""
152436,Hide the shit!,hide the gingerbread!
69508,Maybe it has something to do with the fact that I spent a day in the oven and the night in the freezer with nothing but fucking washer fluid in my system!,maybe because I spent the day in the oven and the night in the freezer with seared water into the cutters flowing in my body!
367154,He tried to kill me.,why did he want to kill me?
426215,You're a name freak.,you're crazy about names.
385435,Don't get yourself killed now.,now don't get killed.
294365,he's so fond of hanging her in the bedroom.,He likes itso much he hangs it in your bedroom.
195769,"but this time, I'll get in his head... and I'll spin it when he's sick.","But this time, I'm gonna get inside his head... and spin him like a top."
12122,"What the fuck, Hank?","what now, Hank?"
9096,"Every time I look over, you're on your ass again.","every time I look back, you lie."
165183,"I'm afraid you killed him, Johnny.","I'm afraid you did, Johnny."
92629,"when I was your age, I was up to my neck, surrounded by pussy.","When I was your age, I was up to my neck in poontang."
534443,I usually have to conduct these stupid talk with my new clients.,"With new clients, I usually have to Talk them through this big, justification dance,"
124728,she sounds like she's having a boob job.,She sounds colicky to me.
298706,"Damn, I've never been in a fight before.","hell, I never fought before."
46502,it's hard to imagine what makes him want to kill his father.,I'm just... I'm having a hard time trying to imagine what would drive him to kill his father.
153904,"But goddamn it, this better go real smooth. Do you understand me?","but it will go smoothly, do you understand?"
176505,"oh, shit.","Oh, man."
461347,the most mediocre man in our entire army.,The most average person in our entire armed forces.
53520,"""I doubt they'll kick up any fuss, not for an old crook like me.","""I doubt they'll make a fuss, not for one of the old darlings like me."
345869,That's the name you give to somebody pushing their silicone tits in your face?,is that what you call it when someone cues your silicone in your face?
159351,You know what? Fuck him.,you know what?
527011,"a couple of years ago, we were doing Tampa for a local moron.",A few years ago we wereworking in Tampa for a local goon.
514260,they both killed the Cardassians.,They were killed by the Cardassians.
151721,tonight was a complete loser.,Tonight was a total bust.
499725,"Oh, Jesus, Stanley, what the fuck did you do that for?","Jesus, why did you do that, Stanley?"
448845,"I'm in deep shit, okay.",I'm in big trouble.
515556,"when you walk through that door, you go to hell with no return.","When traveling through this door, enter unable to return to Hell."
403750,"the losers, you say?","The losing side, you say?"
213391,"This is the house of Tarzan, the killer of beasts and many black men.",this is Tarzana's house that killed many wild beasts and men.
450885,"Stop me, freak.",try to stop me.
38416,"Damn you, Max! Get out of that bathroom and talk to me.",come out of the bathroom and talk.
136778,Fuck you! You gave them the heart!,and you'll throw your heart out there.
464938,"I swear to God, I am gonna sue their asses...","I swear to God, I'll sue them..."
353892,we're just... we're just fucking around.,We... we're just messin' around.
351881,You save the guy that ruined your career... ...and avenge the guy thatfucked your wife.,you're helping what you fired and you're taking revenge on your wife's lover.
448698,fuck the rest of the world.,Screw the rest of the world.
317127,"""Words."" While you've been dicking around some fucking company golf tournaments, I've been out in the world givin' my word... and backing it up with action.","while you were hanging around after the company's golf tournaments, I was out here, giving my word and subtracting him with actions."
65884,It's a real bitch getting into the foster care system at five years old.,it's really terrible when you get into foster care in five years.
17711,to kill us?,For murder?
52946,Take the damn hat.,take your hat!
392555,we don't have time for shit.,We don't have time for this.
80328,"""Damned lucky for the Ministry,"" said Frere, ""this escape of yours.","""the ministers are very lucky,"" Frere said, ""that your escape was taken."
477046,Cossacks,The Cossacks
212760,"Tonight I'm going to raise a tankard to the big bastard, and wish him well on his journey.'","""I'm going to drink to a great villain tonight and wish him good luck."""
281714,I thought you were just an ordinary pig.,I thought you were an ordinary guy.
25630,but they're ugly!,But it's ugly.
1983,"What if they're useless, because Hesselboe has enough?",what if it doesn't matter and Hesselboe's got enough?
139524,"they have sexual experimentation, and they don't know how to express their needs.","People get bored, they want to experiment sexually, and they don't know how to express their needs."
394200,"To escape his stepfather, who was beating the shit out of him.","to escape from his stepson, who beat him very badly."
206005,"shit, get down!",Get down.
26616,and he would probably die that night.,And sometime in that night he would die.
348837,you don't care about me if you shut up.,"I don't think about you at all, if you keep quiet."
573833,What is just like apple juice except it's really salty and has lots of scum on top?,guess what looks like apple juice just is salty and much murky?
444326,"but if you touch my mother's hair, I'll cut my throat.","I'm not. But if you touch so much as a hair on my mother's head,"
461599,It's easier negotiating with soldiers like you than with those damned bureaucrats.,"with soldiers like you, it is easier to deal with than bureaucrats."
348996,"all right, well, I'll call him if you're so stupid about life. And that's why you're never going to be captain, Kif.","All right, I'll call him. If living is that important to you. --that's why you'll never make captain. Hello, Zapp?"
483553,Holy shit!,"oh, my goodness!"
437576,Because LeMarc stole it in 1980 when 23 others failed. Because the Night Fox is trying to prove he's better than Ryan and his friends. This is ridiculous.,... because LaMarque stole it in 1980 when it failed 23 others...... because the Night Fox wants to prove he's better than Ryan and his cronies.
428105,I wouldn't mind fuckin' her.,I wouldn't mind going.
547295,"Damn, I sure missed you Rat !","I missed you so much, Rat!"
414270,The boy looked miserable.,the boy looked contrite.
355835,Onto a bomb!,explode!
419692,"come on, put your sexy body in the pool.",Come on. Get your sexy self in the pool.
429987,dude really screwed up.,Guy messed up big.
49664,"He told me to kill the man next to Tosa, too.",he also told me to do the same to the Tosa.
482378,You fool! It'll rain bombs any second!,it's gonna be raining bombs in a minute!
552270,"""I don't see what we've done to be made fools of like this,"" she said.","""I don't know what we've done to you,"" she said."
353006,it stinks.,It's smells bad.
38173,"your mother is not smart, either, and she's doing great.","Your mother's not the sharpest crayon in the box, and she does great."
377792,I wanted to see tits for free.,I just wanted to see some free titties.
565069,"I forgot what a bitch it is this time of day.""",I forgot how it looks at this time of day.'
160810,The reason I'm an only child is my parents were horrible people who hated each other.,I'm an only child because my parents were kids who hated each other.
457816,I don't know what the hell you're talking about.,I don't know what you're talking about.
62879,He realized that he had just made a fool of himself and he was not sure if he were more embarrassed or hurt by their amusement.,"he found himself embarrassed even more, wondering whether he was more offended or embarrassed by their mirth."
330737,I know the bastards who grabbed her.,I know who picked her up.
398636,It just sucks.,but it's bad.
533367,The woman with whom I-- - Fucked around?,the woman I've been with--
10509,"You're not sure you're lesbian, and I'm late for my flight to the Yucatan.","you're not sure about the girls, and if I don't move, I'm gonna miss the flight to the Yucatan."
116868,"Oh, shit. God, I hate it when he's right.","God, I hate it when he's right."
176600,We must wipe out those we have ignorantly elected... ... and those who manipulate thisdiseased officialdom behind locked doors.,"we have to topple the ones we chose, and who follow this bureaucracy behind locked doors."
465963,"Homer, before you even head out the door, in the morning,... you're already a loser.","homer, before you go to the door in the morning, you're zero!"
328631,"And you all see it coming, and you just don't get the fuck out of the way.","and you all see it coming, and you don't want to get out of it."
577061,They're like bloody missionaries.,they're like missionaries.
174879,it's time to die and maybe now his time has come.,"There's a time to die, and it may be the bird's time..."
138946,"Oh! Oh, shit!","oh, gosh."
233312,"""do you realise, man, that he can stand up from that damn anvil and be a bloodthirsty vampire?""","'Do you realize, man, that she might get up from there a bloodthirsty vampire?'"
160161,"it's green, moron!","The light's green, buddy!"
36020,"because baby, baby, baby, you fucked up","Cos baby, baby, baby, you're out of time"
895,He look fucking alone to you?,does he seem alone?
547680,Michelle H. Goddamn! Just too many to remember.,"Michelle H. God, there's too many of them."
222329,you're not smart or trustworthy.,I don't see smart. I don't see trustworthy.
449163,Jamesy Boy would know that guns are a shit business.,Jamesy Boy would have known the guns were being traded.
142668,Luther was out of your fucking mind today!,"Johnny, Luther said you was something to see today!"
240807,"You didn't, totally sober, make the decision to leave Nate in a truck to track a deer... a fucking deer.",not you in sober condition decided to leave Nate in the car and follow the trail of deer.
76605,You mean it was always a shithole? - No.,so it's always been a dump?
268772,"All right, let's clean this shit up.","all right, let's get this mess cleaned up."
24010,a death sentence from the weekend.,"Here, the death sentences of the weekend."
269078,How could you remember who you're fucking?,how can you remember who you're pulling?
442551,my niece likes the pussy too.,My niece loves Hello Kitty.
572103,"If I should die, it is my wish that you watch over Rya'c.","if I die, I wish you could keep an eye on Ry'aca."
274434,"You left her to fight somebody else's war. And you made damn sure that I didn't go with ya, and we thought that you were dead!","you left her to go fight a foreign war, and you could be damn sure I wouldn't be in there with you."
277957,That was stupid and wrong… and I really miss you talking to me.,and I really miss that you don't talk to me.
155343,what the hell are you doing?,What are you doing? Get back out there.
525416,it's a hunting season for the suckers that killed Gianni.,Open season on the slimes that killed Gianni.
278494,you want black?,Take it black?
290043,"hey, if he's talking about hookers, you sure you don't want to invite Kumar?","Hey, speaking of guests... ...are you sure you don't wanna invite Kumar?"
100852,at least it's Belgian rats.,At least they're Belgianrats.
551498,"If you're looking for forgiveness or compassion, or understanding, go talk to a goddamn priest!","if you seek forgiveness, compassion or sympathy, go to the priest!"
290718,"one day you're lighting up in front of a bunch of adults at a Bat Mitzvah, and you're touring Santa Monica Boulevard and offering sex for a bit of crack.","One day you're lighting up in full view of a dozen adults at a Bat Mitzvah, the next you're cruising Santa Monica Boulevard offering hand jobs for a crack rock."
538979,damn thing!,"Ah, bleeding thing!"
186590,I'm afraid my French is bloody awful.,I'm afraid my French is appalling.
98524,"they're asses, and we're gonna have Oprah's hands together.",And they're butt to butt and then you and I do Oprah hands.
239643,Damn! Y'all was in there for a long time.,you've been there for a long time.
445277,"the frail old woman, who sat in it, would have made her awkwardly self-drawn face with her oversized rose, and in a huge hat with the parrot's feathers, she looked ridiculous, except for the big eyes under the gray curls of dyed red hair.",The frail woman in the chair was elderly and overly made-up with an imbalance of rouge; she wore an outsized feather hat made of Australian cockatoo.
200683,seize him!,Take him away.
74402,Shut up!,be quiet.
153382,I love being Dorrit so ugly.,I love that Dorrit's being so rude.
123829,So this is the guy that gave you the mercedes And has a private jet and takes you to maui And lives in the fucking mansion in malibu.,"so this is the guy who gave you the Mercedes. He's got a private jet, and he's taking you to Maui and he lives in a giant mansion in Malibu."
481979,And yesterday I shat blood.,and yesterday I was covered in blood.
281024,I hope this bastard doesn't run out of town.,I hope the little twerp hasn't skipped town.
412596,or I'll have you pinned on the roasting and roasting on fire.,Or I'll have you on a fork over that fire.
352781,Don't make a fool of yourself!,"don't fool yourself, mister!"
564992,"It was a girl, she kills two of my men!",she killed two of my men.
19237,"Let me out, god-dammit!",let me out of here!
87372,"Frankenstein, Wolf Man, Dracula. Shit, it's over.","Frankenstein, Wolfman, Dracula, whatever."
370242,Shut up. Now that we've completely lost our tactical edge...,now that we don't have our tactical superiority...
517243,That place smells disgusting.,it smells awful in there.
454806,And why Bush is evil!,and why Bush is wrong!
